OSNR,Epsilon,Min Samples,log10(BER)
35.0,0.4,630.0,-0.6049418498250005
35.0,0.4,750.0,-0.6639584831142358
40.0,0.1,300.0,-3.601517780983795
40.0,0.1,500.0,-3.5317343092765503
40.0,0.1,630.0,-0.394167573866117
40.0,0.1,750.0,-0.3203321588717555
40.0,0.2,300.0,-3.7198661865483444
40.0,0.2,500.0,-3.684701769485094
40.0,0.2,630.0,-3.652172544658174
40.0,0.2,750.0,-3.6433090843268685
40.0,0.3,300.0,-0.9090994112342847
40.0,0.3,500.0,-3.8000951881871634
40.0,0.3,630.0,-3.7697125591934424
40.0,0.3,750.0,-3.752453553751937
40.0,0.4,300.0,-0.3914914962487944
40.0,0.4,500.0,-0.6038188536049763
40.0,0.4,630.0,-0.6037547700159707
40.0,0.4,750.0,-0.9091155911974743
